,2007_IDH,2006_IDH,2005_IDH,2000_IDH,2007_Kcal,2006_Kcal,2005_Kcal,2000_Kcal
Abkhazia,,,,,,,,
Afghanistan,0.363,0.354,0.34,0.23,,,,
Akrotiri and Dhekelia,,,,,,,,
Albania,0.729,0.724,0.721,0.691,2879.57,2914.95,2917.08,2832.07
Algeria,0.68,0.673,0.667,0.624,3153.38,3101.2,3059.24,2928.84
American Samoa,,,,,,,,
Andorra,,,,,,,,
Angola,0.471,0.459,0.445,0.384,1973.29,1958.96,1915.7,1763.08
Anguilla,,,,,,,,
Antigua and Barbuda,,,,,2368.5,2293.67,2294.69,2178.78
Argentina,0.78,0.773,0.765,0.749,2940.98,2969.12,3091.79,3271.7
Armenia,0.715,0.703,0.689,0.643,2279.87,2200.4,2269.82,2133.45
Aruba,,,,,,,,
Australia,0.922,0.92,0.918,0.906,3227.05,3192.96,3138.37,3002.91
Austria,0.87,0.866,0.86,0.839,3818.8,3760.36,3700.89,3809.1
Azerbaijan,,,,,2961.19,3026.76,3001.06,2406.22
Bahamas,0.77,0.768,0.766,0.752,2712.5,2693.53,2695.88,2709.89
Bahrain,0.804,0.799,0.795,0.773,,,,
Bangladesh,0.478,0.47,0.462,0.422,2281.18,2234.01,2234.17,2125.16
Barbados,0.791,0.79,0.787,,3055.81,3056.84,3051.15,3025.07
Belarus,0.738,0.731,0.723,,3145.64,3158.46,2952.87,2988.59
Belgium,0.88,0.877,0.873,0.876,3693.57,3674.95,3701.6,3715.57
Belize,0.692,0.69,0.689,0.668,2717.57,2715.1,2723.53,2547.82
Benin,0.414,0.411,0.409,0.378,2532.92,2504.8,2498.7,2418.52
Bermuda,,,,,2597.99,2543.42,2489.22,2655.3
Bhutan,,,,,,,,
Bolivia,0.645,0.65,0.649,0.612,2064.13,2091.2,2123.61,2147.48
Bosnia and Herzegovina,0.725,0.72,0.717,,3078.06,3081.54,3091.22,2706.88
Botswana,0.618,0.611,0.601,0.585,2263.82,2234.14,2206.61,2153.96
Brazil,0.7,0.695,0.692,0.665,3112.51,3102.53,3082.08,2884.84
British Virgin Islands,,,,,,,,
Brunei,0.835,0.834,0.83,0.818,2968.12,2955.73,3038.24,2833.77
Bulgaria,0.758,0.753,0.749,0.715,2766.11,2749.46,2768.0,2815.11
Burkina Faso,0.313,0.307,0.302,,2676.91,2677.32,2653.27,2482.75
Burundi,0.289,0.281,0.267,0.245,1684.72,1658.39,1695.73,1646.65
Cambodia,0.508,0.501,0.491,0.438,2267.55,2250.27,2218.23,2075.64
Cameroon,0.459,0.451,0.449,0.427,2269.12,2259.69,2247.6,2138.3
Canada,0.9,0.897,0.892,0.879,3532.47,3535.09,3521.97,3515.36
Cape Verde,0.56,0.555,0.543,0.523,2571.92,2540.61,2534.58,2370.1
Cayman Islands,,,,,,,,
Chad,0.313,0.311,0.312,0.286,2055.82,2044.8,2018.56,1918.25
Channel Islands,,,,,,,,
Chile,0.789,0.78,0.779,0.749,2920.42,3005.7,2945.82,2805.92
China,0.656,0.644,0.633,0.588,2980.54,2966.79,2974.28,2907.61
Christmas Island,,,,,,,,
Cocos Island,,,,,,,,
Colombia,0.691,0.683,0.675,0.652,2684.65,2670.66,2630.9,2656.53
Comoros,0.428,0.428,0.428,,1884.49,1860.7,1826.81,1746.0
"Congo, Dem. Rep.",0.271,0.266,0.26,0.224,1605.08,1584.91,1566.41,1596.68
"Congo, Rep.",0.512,0.51,0.506,0.478,2511.88,2522.44,2503.85,2290.51
Costa Rica,0.735,0.729,0.723,0.703,2839.76,2819.52,2778.57,2804.37
Cote d'Ivoire,0.388,0.385,0.383,0.374,2527.52,2511.52,2503.74,2424.1
Croatia,0.791,0.785,0.78,0.748,2989.91,2978.1,2991.81,2534.87
Cuba,0.759,0.745,0.725,0.681,3273.96,3311.29,3299.91,3050.61
Cyprus,0.819,0.814,0.809,0.8,3180.69,3202.02,3213.74,3206.9
Czechoslovakia,,,,,,,,
Denmark,0.89,0.887,0.885,0.861,3415.88,3404.26,3372.2,3328.51
Djibouti,0.416,0.407,0.402,,2291.39,2281.88,2219.3,1992.76
Dominica,0.719,0.716,0.709,0.699,3157.16,3094.56,3092.19,3131.94
East Germany,,,,,,,,
Ecuador,0.702,0.698,0.695,0.668,2300.87,2295.22,2316.15,2225.64
Egypt,0.626,0.618,0.611,0.585,3194.55,3134.11,3160.67,3201.98
El Salvador,0.668,0.658,0.652,0.619,2589.61,2579.67,2585.97,2570.78
Equatorial Guinea,0.526,0.519,0.516,0.488,,,,
